url,reference,text_content
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/37764,1001731,"Heritage Category:
                    Scheduled Monument
                List Entry Number:
                    1001731
                Local Planning Authority:
                    Herefordshire, County of (UA)
                Site Type:
                    Defence
                 Unitary Authority:
                    Herefordshire, County of (UA)
                Parish:
                    Kington Rural / Knill
                Parliamentary Constituency:
                    North Herefordshire
                Region:
                    Midlands
                 Assessment Type:
                    Archaeology
                Condition:
                    Generally satisfactory but with significant localised problems
                Principal Vunerability:
                    Stock erosion - localised/limited
                Trend:
                    Improving
                Ownership:
                    Private
                "
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/37756,1001735,"Heritage Category:
                    Scheduled Monument
                List Entry Number:
                    1001735
                Local Planning Authority:
                    Herefordshire, County of (UA)
                Site Type:
                    Barrier
                 Unitary Authority:
                    Herefordshire, County of (UA)
                Parish:
                    Lyonshall
                Parliamentary Constituency:
                    North Herefordshire
                Region:
                    Midlands
                 Assessment Type:
                    Archaeology
                Condition:
                    Generally satisfactory but with significant localised problems
                Principal Vunerability:
                    Development requiring planning permission 
                Trend:
                    Declining
                Ownership:
                    Private, multiple owners
                "
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/34587,1001738,"Heritage Category:
                    Scheduled Monument
                List Entry Number:
                    1001738
                Local Planning Authority:
                    Herefordshire, County of (UA)
                Site Type:
                    Defence
                 Unitary Authority:
                    Herefordshire, County of (UA)
                Parish:
                    Bishopstone / Bridge Sollers / Byford
                Parliamentary Constituency:
                    Hereford and South Herefordshire
                Region:
                    Midlands
                 Assessment Type:
                    Archaeology
                Condition:
                    Generally satisfactory but with minor localised problems
                Principal Vunerability:
                    Arable clipping 
                Trend:
                    Declining
                Ownership:
                    Private
                "
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/35712,1001747,"Heritage Category:
                    Scheduled Monument
                List Entry Number:
                    1001747
                Local Planning Authority:
                    Herefordshire, County of (UA)
                Site Type:
                    Defence > Hillfort
                 Unitary Authority:
                    Herefordshire, County of (UA)
                Parish:
                    Marden / Sutton
                Parliamentary Constituency:
                    North Herefordshire
                Region:
                    Midlands
                 Assessment Type:
                    Archaeology
                Condition:
                    Extensive significant problems
                Principal Vunerability:
                    Dumping 
                Trend:
                    Stable
                Ownership:
                    Charity (heritage)
                "
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/35701,1001758,"Heritage Category:
                    Scheduled Monument
                List Entry Number:
                    1001758
                Local Planning Authority:
                    Herefordshire, County of (UA)
                Site Type:
                    Defence > Hillfort
                 Unitary Authority:
                    Herefordshire, County of (UA)
                Parish:
                    Dinedor
                Parliamentary Constituency:
                    Hereford and South Herefordshire
                Region:
                    Midlands
                 Assessment Type:
                    Archaeology
                Condition:
                    Generally satisfactory but with significant localised problems
                Principal Vunerability:
                    Scrub/tree growth
                Trend:
                    Improving
                Ownership:
                    Other not for profit group
                "
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/43323,1001778,"Heritage Category:
                    Scheduled Monument
                List Entry Number:
                    1001778
                Local Planning Authority:
                    Herefordshire, County of (UA)
                Site Type:
                    Defence > Castle
                 Unitary Authority:
                    Herefordshire, County of (UA)
                Parish:
                    Walterstone
                Parliamentary Constituency:
                    Hereford and South Herefordshire
                Region:
                    Midlands
                 Assessment Type:
                    Archaeology
                Condition:
                    Generally unsatisfactory with major localised problems
                Principal Vunerability:
                    Scrub/tree growth
                Trend:
                    Declining
                Ownership:
                    Private
                "
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/46649,1001789,"Heritage Category:
                    Scheduled Monument
                List Entry Number:
                    1001789
                Local Planning Authority:
                    Gosport
                Site Type:
                    Defence > Coastal defence site
                 Building Name:
                    Gilkicker Fort
                Street Name:
                    Fort Road
                Locality:
                    Gilkicker Point
                County:
                    Hampshire
                District / Borough:
                    Gosport
                Parliamentary Constituency:
                    Gosport
                Region:
                    London and South East
                 Assessment Type:
                    Building or structure
                Condition:
                    Poor
                Occupancy / Use:
                    Vacant/not in use
                Priority:
                    F - Repair scheme in progress and (where applicable) end use or user identified; or functionally redundant buildings with new use agreed but not yet implemented.
                Previous Priority:
                    F
                Ownership:
                    Private
                Designation:
                    Scheduled Monument and Listed Building grade II*
                List Entry Number(s):
                    1001789 and 1276716
                "
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/30386,1001794,"Heritage Category:
                    Scheduled Monument
                List Entry Number:
                    1001794
                Local Planning Authority:
                    Test Valley
                Site Type:
                    Transport > Water transport site
                 County:
                    Hampshire
                District / Borough:
                    Test Valley
                Parish:
                    Kings Somborne
                Parliamentary Constituency:
                    Romsey and Southampton North
                Region:
                    London and South East
                 Assessment Type:
                    Archaeology
                Condition:
                    Generally satisfactory but with significant localised problems
                Principal Vunerability:
                    Scrub/tree growth
                Trend:
                    Improving
                Ownership:
                    Private
                "
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/48364,1001808,"Heritage Category:
                    Scheduled Monument
                List Entry Number:
                    1001808
                Local Planning Authority:
                    Portsmouth, City of (UA)
                Site Type:
                    Defence > Fort
                 Building Name:
                    Fort Southwick
                Street Name:
                    Portsdown Hill
                County:
                    Hampshire
                Unitary Authority:
                    Portsmouth, City of (UA)
                District / Borough:
                    Winchester
                Parish:
                    Southwick and Widley
                Parliamentary Constituency:
                    Fareham and Waterlooville / Portsmouth North
                Region:
                    London and South East
                 Assessment Type:
                    Building or structure
                Condition:
                    Fair
                Occupancy / Use:
                    Part occupied/part in use
                Priority:
                    C - Slow decay; no solution agreed
                Previous Priority:
                    C
                Ownership:
                    Commercial company
                Designation:
                    Scheduled Monument and Listed Buildings - 2 grade I, SM
                List Entry Number(s):
                    1001808 and 1104368; 1167213
                "
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/27592,1001810,"Heritage Category:
                    Scheduled Monument
                List Entry Number:
                    1001810
                Local Planning Authority:
                    Gosport
                Site Type:
                    Defence > Coastal defence site
                 Locality:
                    Haslar Gunboat Yard
                County:
                    Hampshire
                District / Borough:
                    Gosport
                Parliamentary Constituency:
                    Gosport
                Region:
                    London and South East
                 Assessment Type:
                    Archaeology
                Condition:
                    Generally satisfactory but with significant localised problems
                Principal Vunerability:
                    Development requiring planning permission 
                Trend:
                    Declining
                Ownership:
                    Commercial company
                Designation:
                    Scheduled Monument, part in CA
                "
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/46645,1001841,"Heritage Category:
                    Scheduled Monument
                List Entry Number:
                    1001841
                Local Planning Authority:
                    Gosport
                Site Type:
                    Defence > Fort
                 Building Name:
                    Fort Elson
                Street Name:
                    Military Road
                Locality:
                    Gosport
                County:
                    Hampshire
                District / Borough:
                    Gosport
                Parliamentary Constituency:
                    Gosport
                Region:
                    London and South East
                 Assessment Type:
                    Building or structure
                Condition:
                    Poor
                Occupancy / Use:
                    Vacant/not in use
                Priority:
                    A - Immediate risk of further rapid deterioration or loss of fabric; no solution agreed
                Previous Priority:
                    A
                Ownership:
                    Government or agency
                "
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/31721,1001848,"Heritage Category:
                    Scheduled Monument
                List Entry Number:
                    1001848
                Local Planning Authority:
                    South Downs (NP)
                Site Type:
                    Domestic > Residential building
                 County:
                    Hampshire
                District / Borough:
                    Winchester
                Parish:
                    Soberton
                National Park:
                    South Downs (NP)
                Parliamentary Constituency:
                    Winchester
                Region:
                    London and South East
                 Assessment Type:
                    Archaeology
                Condition:
                    Extensive significant problems
                Principal Vunerability:
                    Scrub/tree growth
                Trend:
                    Declining
                Ownership:
                    Private
                "
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/30384,1001849,"Heritage Category:
                    Scheduled Monument
                List Entry Number:
                    1001849
                Local Planning Authority:
                    Gosport
                Site Type:
                    Defence > Battery
                 County:
                    Hampshire
                District / Borough:
                    Gosport
                Parliamentary Constituency:
                    Gosport
                Region:
                    London and South East
                 Assessment Type:
                    Archaeology
                Condition:
                    Generally satisfactory but with significant localised problems
                Principal Vunerability:
                    Scrub/tree growth
                Trend:
                    Improving
                Ownership:
                    Local authority
                "
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/48740,1001852,"Heritage Category:
                    Scheduled Monument
                List Entry Number:
                    1001852
                Local Planning Authority:
                    Portsmouth, City of (UA)
                Site Type:
                    Maritime > Marine construction site
                 Building Name:
                    No.5 and No.6 Dock
                Street Name:
                    Basin No. 1
                Locality:
                    Portsmouth Dockyard
                Unitary Authority:
                    Portsmouth, City of (UA)
                Parliamentary Constituency:
                    Portsmouth South
                Region:
                    London and South East
                 Assessment Type:
                    Building or structure
                Condition:
                    Poor
                Occupancy / Use:
                    Not applicable
                Priority:
                    C - Slow decay; no solution agreed
                Previous Priority:
                    C
                Ownership:
                    Government or agency
                Designation:
                    Scheduled Monument and Listed Building grade I, part in CA
                List Entry Number(s):
                    1001852 and 1272267
                "
