url,reference,text_content,error
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/34594,1001733,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/27706,1001814,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/27702,1001857,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/30038,1001903,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/3533517,1001955,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/40364,1001979,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/36137,1002035,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/40359,1002050,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/37739,1002067,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/39696,1002102,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/24969,1000535,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/25274,1000563,NA,cannot open the connection
