ListEntry,Name,hyperlink,NGR,Easting,Northing,Grade,lat,lon
1000000,Battle of Adwalton Moor 1643,https://historicengland.org.uk/listing/the-list/list-entry/1000000,SE2164428855,421360,429026,NA,53.75716055570657,-1.6775107918610768
1000001,Battle of Barnet 1471,https://historicengland.org.uk/listing/the-list/list-entry/1000001,TQ 24514 97590,524514,197590,NA,51.6633047691133,-0.20112122657621592
1000002,Battle of Blore Heath 1459,https://historicengland.org.uk/listing/the-list/list-entry/1000002,SJ 71345 35300,371345,335300,NA,52.91435276325317,-2.4275743366059954
1000003,Battle of Boroughbridge 1322,https://historicengland.org.uk/listing/the-list/list-entry/1000003,SE 39851 67186,439851,467186,NA,54.09903246375779,-1.3921086256869408
1000004,Battle of Bosworth (Field) 1485,https://historicengland.org.uk/listing/the-list/list-entry/1000004,SP3947698675,439476,298925,NA,52.58670351208798,-1.418770976724351
1000005,Battle of Braddock Down 1643,https://historicengland.org.uk/listing/the-list/list-entry/1000005,SX 17575 63008,217575,63008,NA,50.43850002629901,-4.5703334113395355
1000006,Battle of Chalgrove 1643,https://historicengland.org.uk/listing/the-list/list-entry/1000006,SU6469597865,464695,197872,NA,51.67589974004667,-1.0657767092410795
1000007,Battle of Cheriton 1644,https://historicengland.org.uk/listing/the-list/list-entry/1000007,SU 59775 29360,459775,129360,NA,51.06047577349759,-1.148420746507368
1000008,Battle of Cropredy Bridge 1644,https://historicengland.org.uk/listing/the-list/list-entry/1000008,"SP 47512 44995, SP 47927 46275",447927,246275,NA,52.11272973200061,-1.301541685805076
1000009,Battle of Edgehill 1642,https://historicengland.org.uk/listing/the-list/list-entry/1000009,SP3396249503,435730,249013,NA,52.13826478439397,-1.4793572502822607
1000010,Battle of Evesham 1265,https://historicengland.org.uk/listing/the-list/list-entry/1000010,SP 03898 45662,403898,245662,NA,52.109272650098845,-1.9444971641722395
1000011,Battle of Flodden 1513,https://historicengland.org.uk/listing/the-list/list-entry/1000011,NT 89469 36989,389469,636989,NA,55.62636070580334,-2.168799704590351
1000012,The Site of The Battle of Halidon Hill 1333,https://historicengland.org.uk/listing/the-list/list-entry/1000012,NT9678955540,396789,655540,NA,55.79314840535289,-2.0527793450467806
1000013,Battle of Hastings 1066,https://historicengland.org.uk/listing/the-list/list-entry/1000013,TQ7453215562,574801,115362,NA,50.91125701109199,0.485096759805217
1000014,Battle of Homildon Hill 1402,https://historicengland.org.uk/listing/the-list/list-entry/1000014,NT 96745 28978,396745,628978,NA,55.554484469653495,-2.0531549220989245
1000015,Battle of Hopton Heath 1643,https://historicengland.org.uk/listing/the-list/list-entry/1000015,SJ 95492 26423,395492,326423,NA,52.83530471637239,-2.068358946814415
