ListEntry,Name,Grade,hyperlink,NGR,Easting,Northing,lat,lon
1021466,20 and 20A Whitbourne Springs,II,https://historicengland.org.uk/listing/the-list/list-entry/1021466,ST8338544428,383389,144430,51.198840904163475,-2.2391184370419053
1021467,TENNIS CORNER FARMHOUSE WITH GRANARY AND STABLE,II,https://historicengland.org.uk/listing/the-list/list-entry/1021467,ST 82839 50851,382839,150851,51.25656088814256,-2.247299550718333
1021468,CHALCOT HOUSE,II*,https://historicengland.org.uk/listing/the-list/list-entry/1021468,ST 84294 48824,384294,148824,51.238376776819884,-2.2263600570982303
1021469,FIVE LORDS FARMHOUSE,II,https://historicengland.org.uk/listing/the-list/list-entry/1021469,ST 82772 50187,382772,150187,51.250588325416146,-2.248227462995634
1021470,PENLEIGH MILL,II,https://historicengland.org.uk/listing/the-list/list-entry/1021470,ST 85722 50467,385722,150467,51.25318811623485,-2.205971168278856
1021471,PENLEIGH HOUSE,II,https://historicengland.org.uk/listing/the-list/list-entry/1021471,ST 85622 50828,385622,150828,51.25643161700812,-2.2074186718716766
1021472,PENLEIGH FARMHOUSE,II,https://historicengland.org.uk/listing/the-list/list-entry/1021472,ST 85641 50894,385641,150894,51.257025557212614,-2.2071490758882075
1021473,CHURCH OF HOLY TRINITY,II*,https://historicengland.org.uk/listing/the-list/list-entry/1021473,ST 84949 49813,384949,149813,51.24728745227042,-2.2170196092207
1021474,The Old Vicarage,II,https://historicengland.org.uk/listing/the-list/list-entry/1021474,ST 84943 49714,384943,149714,51.24639710546107,-2.2171013746340287
1021475,"20, High Street",II,https://historicengland.org.uk/listing/the-list/list-entry/1021475,ST 85304 49940,385304,149940,51.248438739788696,-2.2119387936176653
1021476,CHURCH OF ST MARY,I,https://historicengland.org.uk/listing/the-list/list-entry/1021476,ST 85860 49039,385860,149039,51.24035129576832,-2.2039369233540826
1021477,UNIDENTIFIED MONUMENT IN THE CHURCHYARD ABOUT 3 METRES SOUTH OF CHURCH OF ST MARY,II,https://historicengland.org.uk/listing/the-list/list-entry/1021477,ST 85852 49031,385852,149031,51.24027916133546,-2.2040512032043824
1021478,9 PETTICOAT LANE,II,https://historicengland.org.uk/listing/the-list/list-entry/1021478,ST8550449795,385504,149795,51.24714008898193,-2.2090674101564525
1021479,BRIDGE FARMHOUSE,II,https://historicengland.org.uk/listing/the-list/list-entry/1021479,ST 85854 49773,385854,149773,51.246951128903746,-2.2040521109305997
1021480,COULSTON HOUSE WITH OUTBUILDINGS,II,https://historicengland.org.uk/listing/the-list/list-entry/1021480,ST 95185 54177,395185,154177,51.28670808660672,-2.070428169998735
1021481,THE COTTAGE,II,https://historicengland.org.uk/listing/the-list/list-entry/1021481,ST 95051 54352,395051,154352,51.28828047317998,-2.0723521192667267
1021482,BAYNTON HOUSE,II,https://historicengland.org.uk/listing/the-list/list-entry/1021482,ST 95134 53859,395134,153859,51.28384825410415,-2.071155039826691
1021483,THE HOUSE OF STEPS,II,https://historicengland.org.uk/listing/the-list/list-entry/1021483,ST 94929 53977,394929,153977,51.2849074555412,-2.0740961291905986
1021484,IVYMILL FARMHOUSE AND MILL,II,https://historicengland.org.uk/listing/the-list/list-entry/1021484,ST 92229 54280,392229,154280,51.28760097869518,-2.112817410777877
1021485,"TWO ORAM MONUMENTS IN THE CHURCHYARD ABOUT 10 METRES SOUTH WEST OF CHURCH OF ST MARY, ST KATEHERINE AND ALL SAINTS",II,https://historicengland.org.uk/listing/the-list/list-entry/1021485,ST 92606 53280,392606,153280,51.27861429155791,-2.10739036902509
1021486,"THREE MONUMENTS IN THE CHURCHYARD BETWEEN 4 AND 7 METRES WEST OF THE CHURCH OF ST MARY, ST KATHERINE AND ALL SAINTS",II,https://historicengland.org.uk/listing/the-list/list-entry/1021486,ST 92606 53304,392606,153304,51.27883009451046,-2.1073908734322173
1021487,"TWO MONUMENTS IN THE CHURCHYARD ABOUT 5 METRES SOUTH OF SOUTH TRANSEPT OF CHURCH OF ST MARY, ST KATHERINE AND ALL SAINTS",II,https://historicengland.org.uk/listing/the-list/list-entry/1021487,ST 92654 53296,392654,153296,51.27875879088264,-2.1067025378492477
1021488,"FOUR MONUMENTS IN THE CHURCHYARD BETWEEN 5 AND 8 METRES EAST OF CHANCEL OF CHURCH OF ST MARY, ST KATHERINE AND ALL SAINTS",II,https://historicengland.org.uk/listing/the-list/list-entry/1021488,ST 92669 53322,392669,153322,51.27899277367616,-2.1064880273783593
1021489,"TWO MONUMENTS BETWEEN 14 AND 17 METRES EAST OF CHANCEL OF CHURCH OF ST MARY, ST KATHERINE AND ALL SAINTS",II,https://historicengland.org.uk/listing/the-list/list-entry/1021489,ST 92675 53322,392675,153322,51.27899285207055,-2.1064020060081936
1021490,UNIDENTIFIED MONUMENT IN THE CHURCHYARD ABOUT 11 METRES SOUTH WEST OF THE CHAPMAN CROSS,II,https://historicengland.org.uk/listing/the-list/list-entry/1021490,ST 92683 53313,392683,153313,51.278912030391155,-2.106287123631848
1021491,FIVE MONUMENTS IN THE CHURCHYARD BETWEEN 0.5 AND 5 METRES SOUTH OF THE CHAPMAN CROSS,II,https://historicengland.org.uk/listing/the-list/list-entry/1021491,ST 92692 53323,392692,153323,51.27900206563442,-2.10615829956721
1021492,THE MONASTERY GARDEN,I,https://historicengland.org.uk/listing/the-list/list-entry/1021492,ST 92751 53384,392751,153384,51.27955133054196,-2.1053136798828582
1021493,REMAINS OF ABBEY OR PRIORY IN GROUNDS OF THE MONASTERY GARDEN,I,https://historicengland.org.uk/listing/the-list/list-entry/1021493,ST 92692 53352,392692,153352,51.27926282752754,-2.1061589020929303
1021494,"5, Inmead",II,https://historicengland.org.uk/listing/the-list/list-entry/1021494,ST 92460 53283,392460,153283,51.27863932373026,-2.109483602592393
1021495,PARSONAGE FARMHOUSE,II,https://historicengland.org.uk/listing/the-list/list-entry/1021495,ST 92535 53046,392535,153046,51.27650927211593,-2.1084033160084474
1021496,SHORE HOUSE,II,https://historicengland.org.uk/listing/the-list/list-entry/1021496,ST 93199 53477,393199,153477,51.280393182298354,-2.0988924720934454
1021497,LAMBOURNE COTTAGE,II,https://historicengland.org.uk/listing/the-list/list-entry/1021497,ST 93258 53342,393258,153342,51.27918000383309,-2.0980439782591147
1021498,STABLE AT NO 10,II,https://historicengland.org.uk/listing/the-list/list-entry/1021498,ST 93180 53436,393180,153436,51.28002428791938,-2.09916408554967
1021499,THE GEORGE INN,II,https://historicengland.org.uk/listing/the-list/list-entry/1021499,ST 93167 53464,393167,153464,51.28027589961703,-2.0993510139556415
1021500,GREATER LANE FARMHOUSE,II,https://historicengland.org.uk/listing/the-list/list-entry/1021500,ST 92393 52902,392393,152902,51.275212546880695,-2.1104359333143323
1021501,THE OLD VICARAGE,II,https://historicengland.org.uk/listing/the-list/list-entry/1021501,ST 92622 53071,392622,153071,51.27673521783773,-2.107156597673105
1021502,BROOK HALL,II,https://historicengland.org.uk/listing/the-list/list-entry/1021502,ST 85062 53433,385062,153433,51.27984063613934,-2.21555304711761
1021503,"5, Hawkeridge",II,https://historicengland.org.uk/listing/the-list/list-entry/1021503,ST 86312 53697,386312,153697,51.28224611786074,-2.19764187856705
1021504,HAWKERIDGE FARMHOUSE,II,https://historicengland.org.uk/listing/the-list/list-entry/1021504,ST8648353277,386483,153277,51.278473700754475,-2.1951740800268826
1021505,SOUTH LODGE WITH GATE PIERS,II,https://historicengland.org.uk/listing/the-list/list-entry/1021505,ST 87634 53075,387634,153075,51.27668374476039,-2.1786654985852887
1021506,STABLE AND BARN AT CUTTERIDGE FARM,II,https://historicengland.org.uk/listing/the-list/list-entry/1021506,ST 84324 53364,384324,153364,51.279200226571284,-2.2261307578855862
1021507,WALLS AND GATEWAY ON SOUTH SIDE OF CHURCHYARD OF CHURCH OF ST NICHOLAS,II,https://historicengland.org.uk/listing/the-list/list-entry/1021507,ST 85486 54858,385486,154858,51.2926649030664,-2.2095324942479815
1021508,UNIDENTIFIED MONUMENT IN THE CHURCHYARD ABOUT 17 METRES SOUTH OF NAVE OF CHURCH OF ST NICHOLAS,II,https://historicengland.org.uk/listing/the-list/list-entry/1021508,ST 85468 54883,385468,154883,51.292889233397844,-2.2097916594167417
1021509,FRANCES MONUMENT IN THE CHURCHYARD ABOUT 1 METRE NORTH OF VESTRY OF CHURCH OF ST NICHOLAS,II,https://historicengland.org.uk/listing/the-list/list-entry/1021509,ST 85464 54915,385464,154915,51.293176865619806,-2.2098503373082132
1021510,"59, CHURCH LANE",II,https://historicengland.org.uk/listing/the-list/list-entry/1021510,ST 85332 54792,385332,154792,51.292067471857976,-2.2117382875379477
