url,Heritage.Category,List.Entry.Number,Local.Planning.Authority,Site.Type,Unitary.Authority,Parish,Parliamentary.Constituency,Region,Assessment.Type,Condition,Principal.Vunerability,Trend,Ownership,Building.Name,Street.Name,Locality,County,District...Borough,Occupancy...Use,Priority,Previous.Priority,Designation,List.Entry.Number.s.,National.Park,Vulnerability,ListEntry,dataset,end.date,entity,entry.date,name,point,start.date,typology,geography,heritage.at.risk,organisation,Name,hyperlink,NGR,Easting,Northing,grade,lat,lon,Grade
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/2289505, Scheduled Monument,1001862," Portsmouth, City of (UA)", Defence > Fort," Portsmouth, City of (UA)",NA, Portsmouth North, London and South East, Building or structure, Poor,NA,NA, Local authority, Fort Widley,NA, Portsdown Hill,NA,NA, Part occupied/part in use, C - Slow decay; no solution agreed, C," Scheduled Monument, 2 LBs ",NA,NA,NA,1001862,heritage-at-risk,NA,7500510,2024-09-26,"Fort Widley, Portsmouth",POINT(-1.068213 50.854455),NA,geography,NA,NA,NA,Fort Widley,https://historicengland.org.uk/listing/the-list/list-entry/1001862,SU 65680 06524,465680,106524,NA,50.8545108358604,-1.06828526985172,NA
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/24508, Registered Battlefield,1000000, Bradford, Battlefield,NA, Drighlington, Leeds South West and Morley / Bradford South, North East and Yorkshire, Battlefield, Generally satisfactory but with significant localised problems,NA, Stable, Private,NA,NA,NA, West Yorkshire, Bradford / Kirklees / Leeds,NA, D - Action/strategy agreed but not yet implemented (where trend is stable or improving), D," Registered Battlefield, LB grade II ",NA,NA, High,1000000,heritage-at-risk,NA,7500659,2024-09-26,Battle of Adwalton Moor,POINT(-1.675013 53.756361),NA,geography,NA,NA,NA,Battle of Adwalton Moor 1643,https://historicengland.org.uk/listing/the-list/list-entry/1000000,SE2164428855,421360,429026,NA,53.7571605557066,-1.67751079186108,NA
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/24509, Registered Battlefield,1000003, North Yorkshire Council (UA), Battlefield, North Yorkshire Council (UA), Boroughbridge / Langthorpe / Milby, Wetherby and Easingwold, North East and Yorkshire, Battlefield, Generally satisfactory but with significant localised problems,NA, Stable, Private,NA,NA,NA,NA,NA,NA, D - Action/strategy agreed but not yet implemented (where trend is stable or improving), D," Registered Battlefield, LB grade II, part in CA ",NA,NA, Medium,1000003,heritage-at-risk,NA,7500377,2024-09-26,Battle of Boroughbridge,POINT(-1.390626 54.098949),NA,geography,NA,NA,NA,Battle of Boroughbridge 1322,https://historicengland.org.uk/listing/the-list/list-entry/1000003,SE 39851 67186,439851,467186,NA,54.0990324637578,-1.39210862568694,NA
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/24542, Registered Battlefield,1000025, Newcastle upon Tyne, Battlefield,NA,NA, Blaydon and Consett / Hexham, North East and Yorkshire, Battlefield, Generally satisfactory but with significant localised problems,NA, Stable," Private, multiple owners",NA,NA, Ryton / Newburn, Tyne and Wear, Newcastle upon Tyne / Gateshead,NA, B - Action/strategy agreed but not yet implemented (where trend is declining or unknown), B," Registered Battlefield, 6 LBs, 2 CAs ",NA,NA, High,1000025,heritage-at-risk,NA,7500660,2024-09-26,Battle of Newburn Ford,POINT(-1.745530 54.978350),NA,geography,NA,NA,NA,Battle of Newburn Ford 1640,https://historicengland.org.uk/listing/the-list/list-entry/1000025,NZ 16383 63953,416383,563953,NA,54.9699312703893,-1.74561991663417,NA
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/24592, Registered Park and Garden grade I,1000338, East Devon, Gardens parks and urban spaces > Garden,NA, Colaton Raleigh / East Budleigh / Bicton, Exmouth and Exeter East, South West, Park and garden, Generally unsatisfactory with major localised problems,NA, Stable," Mixed, multiple owners",NA,NA,NA, Devon, East Devon,NA,NA,NA," Registered Park and Garden grade I, 18 LBs, SM ",NA,NA, High,1000338,heritage-at-risk,NA,7500399,2024-09-26,Bicton,POINT(-3.319941 50.668950),NA,geography,NA,NA,NA,BICTON,https://historicengland.org.uk/listing/the-list/list-entry/1000338,"SY 07035 85422, SY 06824 86308",306823,86310,NA,50.6689749300165,-3.31986987643685,I
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/24684, Registered Park and Garden grade I,1000155, Mid Suffolk, Gardens parks and urban spaces > Landscape park,NA, Hemingstone / Barham / Coddenham, Central Suffolk and North Ipswich, East of England, Park and garden, Extensive significant problems,NA, Declining," Private, multiple owners",NA,NA,NA, Suffolk, Mid Suffolk,NA,NA,NA," Registered Park and Garden grade I, 29 LBs, part in CA ",NA,NA, High,1000155,heritage-at-risk,NA,7500395,2024-09-26,Shrubland Hall,POINT(1.103647 52.133384),NA,geography,NA,NA,NA,SHRUBLAND HALL,https://historicengland.org.uk/listing/the-list/list-entry/1000155,TM1181653099,612274,252889,NA,52.1335079247918,1.10019451049204,I
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/24696, Registered Park and Garden grade II*,1000249, Hart, Gardens parks and urban spaces > Landscape park,NA, Eversley, North East Hampshire, London and South East, Park and garden, Generally unsatisfactory with major localised problems,NA, Stable," Mixed, multiple owners",NA,NA,NA, Hampshire, Hart,NA,NA,NA," Registered Park and Garden grade II*, LB grade I ",NA,NA, Medium,1000249,heritage-at-risk,NA,7500353,2024-09-26,Warbrook House,POINT(-0.891509 51.348884),NA,geography,NA,NA,NA,WARBROOK HOUSE,https://historicengland.org.uk/listing/the-list/list-entry/1000249,SU7691961766,477297,161659,NA,51.348763697145,-0.891488433900668,II*
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/24699, Registered Park and Garden grade II*,1000472, Wiltshire (UA), Gardens parks and urban spaces > Landscape park, Wiltshire (UA), Burbage / Great Bedwyn / Little Bedwyn / Marlborough / Mildenhall / Savernake, East Wiltshire, South West, Park and garden, Generally unsatisfactory with major localised problems,NA, Improving," Mixed, multiple owners",NA,NA, Burbage and Savernake,NA,NA,NA,NA,NA," Registered Park and Garden grade II*, 20 LBs, 7 SMs ",NA,NA, Medium,1000472,heritage-at-risk,NA,7500402,2024-09-26,Tottenham House and Savernake Forest,POINT(-1.670110 51.391870),NA,geography,NA,NA,NA,TOTTENHAM HOUSE AND SAVERNAKE FOREST,https://historicengland.org.uk/listing/the-list/list-entry/1000472,SU2285566376,422856,166378,NA,51.3959814543417,-1.67286809633693,II*
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/24701, Registered Park and Garden grade II*,1000377, Warwick, Gardens parks and urban spaces > Landscape park,NA, Ashow / Stoneleigh, Kenilworth and Southam, Midlands, Park and garden, Generally satisfactory but with significant localised problems,NA, Improving," Mixed, multiple owners",NA,NA,NA, Warwickshire, Warwick,NA,NA,NA," Registered Park and Garden grade II*, 30 LBs, 2 SMs, part in CA ",NA,NA, High,1000377,heritage-at-risk,NA,7500661,2024-09-26,Stoneleigh Abbey,POINT(-1.523938 52.341235),NA,geography,NA,NA,NA,STONELEIGH ABBEY,https://historicengland.org.uk/listing/the-list/list-entry/1000377,"SP3345571996, SP 31474 70826",431473,270826,NA,52.334622587779,-1.53953112988385,II*
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/24702, Registered Park and Garden grade II*,1000547, Bracknell Forest (UA), Gardens parks and urban spaces > Garden, Bracknell Forest (UA), Binfield, Maidenhead, London and South East, Park and garden, Extensive significant problems,NA, Declining, Educational (independent),NA,NA,NA,NA,NA,NA,NA,NA," Registered Park and Garden grade II*, 7 LBs ",NA,NA, High,1000547,heritage-at-risk,NA,7500359,2024-09-26,Newbold College (formerly Moor Close),POINT(-0.783100 51.423620),NA,geography,NA,NA,NA,NEWBOLD COLLEGE (formerly MOOR CLOSE),https://historicengland.org.uk/listing/the-list/list-entry/1000547,SU 84667 69999,484667,169999,NA,51.4226883638277,-0.783702234891529,II*
