"","dataset","end.date","entity","entry.date","geojson","name","point","ListEntry","start.date","typology","documentation.url","geography","heritage.at.risk","organisation","Name.x","Grade.x","hyperlink.x","NGR.x","Easting.x","Northing.x","lat.x","lon.x","Name.y","hyperlink.y","NGR.y","Easting.y","Northing.y","lat.y","lon.y","Name.x.x","Grade.y","hyperlink.x.x","NGR.x.x","Easting.x.x","Northing.x.x","lat.x.x","lon.x.x","Name.y.y","hyperlink.y.y","NGR.y.y","Easting.y.y","Northing.y.y","lat.y.y","lon.y.y"
"1","heritage-at-risk",NA,7500000,"2024-09-26",NA,"Roman fort west of Eaton House","POINT(-2.141775 52.692762)",1006098,NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/35747",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","heritage-at-risk",NA,7500001,"2021-05-27",NA,"Barlinch Priory","POINT(-3.529384 51.050242)",1006213,NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/42043",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","heritage-at-risk",NA,7500002,"2024-09-26",NA,"Roman villa 150 yards (140 metres) south east of Lea Hall","POINT(-2.862003 52.670884)",1006246,NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/41990",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","heritage-at-risk",NA,7500003,"2024-09-26",NA,"Abutment of Roman Bridge at Radnor Bridge","POINT(-2.703145 52.618715)",1006280,NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/47933",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","heritage-at-risk",NA,7500004,"2024-09-26",NA,"Defences to the Saxon town [within Bull and Kine Croft]","POINT(-1.127250 51.601647)",1006329,NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/35923",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","heritage-at-risk",NA,7500005,"2024-09-26",NA,"Rectangular enclosures 1100yds (1010m) north west of Mount Owen Farm","POINT(-1.542321 51.748031)",1006348,NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/30561",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","heritage-at-risk",NA,7500006,"2024-09-26",NA,"Dike Hills","POINT(-1.172971 51.638109)",1006364,NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/34021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","heritage-at-risk",NA,7500007,"2024-09-26",NA,"Round Hill","POINT(-1.060007 53.004743)",1006379,NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/42404",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","heritage-at-risk",NA,7500008,"2024-09-26",NA,"Langley Barony lead mines, Haydon Bridge","POINT(-2.271065 54.990060)",1006413,NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/28308",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","heritage-at-risk",NA,7500009,"2024-09-26",NA,"Circular enclosure west of Second Linthaugh","POINT(-2.113443 55.622589)",1006430,NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/30095",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","heritage-at-risk",NA,7500010,"2024-09-26",NA,"Pair of bastles, north-west of the Green at Chesterwood, Haydon Bridge","POINT(-2.267732 54.980657)",1006432,NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/49590",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","heritage-at-risk",NA,7500011,"2024-09-26",NA,"Settlement on the east slope of The Bell","POINT(-2.153719 55.555591)",1006465,NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/28303",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","heritage-at-risk",NA,7500012,"2021-05-27",NA,"Settlement on north slope of Yeavering Bell","POINT(-2.119761 55.561729)",1006466,NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/28190",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","heritage-at-risk",NA,7500013,"2024-09-26",NA,"Flodden camp","POINT(-2.122663 55.609460)",1006481,NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/28416",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
