"ListEntry","dataset","end.date","entity","entry.date","name","point","start.date","typology","url","geography","heritage.at.risk","organisation","Name","hyperlink","NGR","Easting","Northing","grade","lat","lon","Grade"
1001731,"heritage-at-risk",NA,7500726,"2024-09-26","Offa's Dyke: Rushock Hill section, extending 1630yds (1490m) east to Kennel Wood","POINT(-3.032993 52.229575)",NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/37764",NA,NA,NA,"Offa's Dyke: Rushock Hill section, extending 1630yds (1490m) E to Kennel Wood","https://historicengland.org.uk/listing/the-list/list-entry/1001731","SO 29562 59529",329562,259529,NA,52.2294359126987,-3.03272038639519,NA
1001733,"heritage-at-risk",NA,7500390,"2021-12-01","Offa's Dyke: the section 630yds (580m) long west of Lyonshall","POINT(-2.984735 52.198062)",NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/34594",NA,NA,NA,"Offa's Dyke: the section 630yds (580m) long W of Lyonshall","https://historicengland.org.uk/listing/the-list/list-entry/1001733","SO 32790 55995",332790,255995,NA,52.1980727688308,-2.98476317596531,NA
1001735,"heritage-at-risk",NA,7500391,"2024-09-26","Offa's Dyke: section north west of Holme Marsh extending 615 yards (560 metres) to the railway","POINT(-2.974065 52.189224)",NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/37756",NA,NA,NA,"Offa's Dyke: section NW of Holme Marsh extending 615yds (560m) to the railway","https://historicengland.org.uk/listing/the-list/list-entry/1001735","SO 33493 55016",333493,255016,NA,52.1893578466299,-2.97428676871494,NA
1001738,"heritage-at-risk",NA,7500727,"2024-09-26","Offa's Dyke: the section extending 950yds (870m) N and S of Big Oaks","POINT(-2.867624 52.083725)",NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/34587",NA,NA,NA,"Offa's Dyke: the section extending 950yds (870m) N and S of Big Oaks","https://historicengland.org.uk/listing/the-list/list-entry/1001738","SO 40636 43192, SO 40811 42789",340636,243192,NA,52.0838832805788,-2.8677436763986,NA
1001747,"heritage-at-risk",NA,7500728,"2024-09-26","Sutton Walls (camp)","POINT(-2.694551 52.113900)",NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/35712",NA,NA,NA,"Sutton Walls (camp)","https://historicengland.org.uk/listing/the-list/list-entry/1001747","SO 52520 46404",352520,246404,NA,52.1139081461655,-2.69477840240727,NA
1001758,"heritage-at-risk",NA,7500504,"2024-09-26","Dinedor Camp","POINT(-2.695883 52.023538)",NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/35701",NA,NA,NA,"Dinedor Camp","https://historicengland.org.uk/listing/the-list/list-entry/1001758","SO 52357 36358",352357,236358,NA,52.0235813269499,-2.6957529409245,NA
1001778,"heritage-at-risk",NA,7500505,"2024-09-26","Motte and bailey, west of St Mary's Church","POINT(-2.961579 51.919567)",NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/43323",NA,NA,NA,"Motte and bailey, W of St Mary's Church","https://historicengland.org.uk/listing/the-list/list-entry/1001778","SO 33964 24999",333964,224999,NA,51.9195816937558,-2.96158548199207,NA
1001789,"heritage-at-risk",NA,7502103,"2024-09-26","Gilkicker Fort, Fort Road, Gilkicker Point","POINT(-1.140891 50.774004)",NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/46649",NA,NA,NA,"Gilkicker fort","https://historicengland.org.uk/listing/the-list/list-entry/1001789","SZ 60679 97497",460679,97497,NA,50.7738898125786,-1.14081318554153,NA
1001794,"heritage-at-risk",NA,7500506,"2024-09-26","Andover-Redbridge canal, Chalk Hill Lock, Horsebridge","POINT(-1.506053 51.074787)",NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/30386",NA,NA,NA,"Andover-Redbridge canal, Chalk Hill Lock, Horsebridge","https://historicengland.org.uk/listing/the-list/list-entry/1001794","SU 34701 30724",434701,130724,NA,51.0747987345637,-1.5060627654243,NA
1001808,"heritage-at-risk",NA,7500507,"2024-09-26","Fort Southwick, Portsdown Hill, Portsmouth","POINT(-1.108698 50.858324)",NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/48364",NA,NA,NA,"Fort Southwick
See also HAMPSHIRE 500","https://historicengland.org.uk/listing/the-list/list-entry/1001808","SU 62824 06926",462824,106838,NA,50.8576508623299,-1.10879991749887,NA
1001810,"heritage-at-risk",NA,7500508,"2024-09-26","Gunboat Traverser System, Haslar Gunboat Yard","POINT(-1.126400 50.787429)",NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/27592",NA,NA,NA,"Gunboat Traverser System","https://historicengland.org.uk/listing/the-list/list-entry/1001810","SZ6165998976",461659,98976,NA,50.7870851250304,-1.12666887409536,NA
1001814,"heritage-at-risk",NA,7502104,"2022-12-21","'Banjo type' native settlement","POINT(-1.241109 51.109140)",NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/27706",NA,NA,NA,"'Banjo type' native settlement","https://historicengland.org.uk/listing/the-list/list-entry/1001814","SU 53223 34701",453223,134701,NA,51.1091418790967,-1.24111967035475,NA
