url,Heritage.Category,List.Entry.Number,Local.Planning.Authority,Site.Type,Unitary.Authority,Parish,Parliamentary.Constituency,Region,Assessment.Type,Condition,Principal.Vunerability,Trend,Ownership,Building.Name,Street.Name,Locality,County,District...Borough,Occupancy...Use,Priority,Previous.Priority,Designation,List.Entry.Number.s.,Vulnerability,ListEntry,dataset,end.date,entity,entry.date,name,point,start.date,typology,geography,heritage.at.risk,organisation,Name,hyperlink,NGR,Easting,Northing,grade,lat,lon,Grade
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/24508, Registered Battlefield,1000000, Bradford, Battlefield,NA, Drighlington, Leeds South West and Morley / Bradford South, North East and Yorkshire, Battlefield, Generally satisfactory but with significant localised problems,NA, Stable, Private,NA,NA,NA, West Yorkshire, Bradford / Kirklees / Leeds,NA, D - Action/strategy agreed but not yet implemented (where trend is stable or improving), D," Registered Battlefield, LB grade II ",NA, High,1000000,heritage-at-risk,NA,7500659,2024-09-26,Battle of Adwalton Moor,POINT(-1.675013 53.756361),NA,geography,NA,NA,NA,Battle of Adwalton Moor 1643,https://historicengland.org.uk/listing/the-list/list-entry/1000000,SE2164428855,421360,429026,NA,53.7571605557066,-1.67751079186108,NA
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/24509, Registered Battlefield,1000003, North Yorkshire Council (UA), Battlefield, North Yorkshire Council (UA), Boroughbridge / Langthorpe / Milby, Wetherby and Easingwold, North East and Yorkshire, Battlefield, Generally satisfactory but with significant localised problems,NA, Stable, Private,NA,NA,NA,NA,NA,NA, D - Action/strategy agreed but not yet implemented (where trend is stable or improving), D," Registered Battlefield, LB grade II, part in CA ",NA, Medium,1000003,heritage-at-risk,NA,7500377,2024-09-26,Battle of Boroughbridge,POINT(-1.390626 54.098949),NA,geography,NA,NA,NA,Battle of Boroughbridge 1322,https://historicengland.org.uk/listing/the-list/list-entry/1000003,SE 39851 67186,439851,467186,NA,54.0990324637578,-1.39210862568694,NA
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/24542, Registered Battlefield,1000025, Newcastle upon Tyne, Battlefield,NA,NA, Blaydon and Consett / Hexham, North East and Yorkshire, Battlefield, Generally satisfactory but with significant localised problems,NA, Stable," Private, multiple owners",NA,NA, Ryton / Newburn, Tyne and Wear, Newcastle upon Tyne / Gateshead,NA, B - Action/strategy agreed but not yet implemented (where trend is declining or unknown), B," Registered Battlefield, 6 LBs, 2 CAs ",NA, High,1000025,heritage-at-risk,NA,7500660,2024-09-26,Battle of Newburn Ford,POINT(-1.745530 54.978350),NA,geography,NA,NA,NA,Battle of Newburn Ford 1640,https://historicengland.org.uk/listing/the-list/list-entry/1000025,NZ 16383 63953,416383,563953,NA,54.9699312703893,-1.74561991663417,NA
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/24684, Registered Park and Garden grade I,1000155, Mid Suffolk, Gardens parks and urban spaces > Landscape park,NA, Hemingstone / Barham / Coddenham, Central Suffolk and North Ipswich, East of England, Park and garden, Extensive significant problems,NA, Declining," Private, multiple owners",NA,NA,NA, Suffolk, Mid Suffolk,NA,NA,NA," Registered Park and Garden grade I, 29 LBs, part in CA ",NA, High,1000155,heritage-at-risk,NA,7500395,2024-09-26,Shrubland Hall,POINT(1.103647 52.133384),NA,geography,NA,NA,NA,SHRUBLAND HALL,https://historicengland.org.uk/listing/the-list/list-entry/1000155,TM1181653099,612274,252889,NA,52.1335079247918,1.10019451049204,I
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/24706, Registered Park and Garden grade I,1000165, Hart, Gardens parks and urban spaces > Landscape park,NA, Mattingley / Bramshill / Eversley, North East Hampshire, London and South East, Park and garden, Extensive significant problems,NA, Stable," Mixed, multiple owners",NA,NA,NA, Hampshire, Hart,NA,NA,NA," Registered Park and Garden grade I, 8 LBs, part in SM, part in CA ",NA, Medium,1000165,heritage-at-risk,NA,7500351,2024-09-26,Bramshill Park,POINT(-0.910021 51.332322),NA,geography,NA,NA,NA,Bramshill Park,https://historicengland.org.uk/listing/the-list/list-entry/1000165,SU7626960141,476801,159656,NA,51.3308237770926,-0.899040425813335,I
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/24710, Registered Park and Garden grade II*,1000194, Redbridge, Gardens parks and urban spaces > Park,NA,NA, Leyton and Wanstead, London and South East, Park and garden, Extensive significant problems,NA, Stable," Local authority, multiple owners",NA,NA,NA, Greater London, Redbridge / Waltham Forest,NA,NA,NA," Registered Park and Garden grade II*, 7 LBs, 2 CAs ",NA, High,1000194,heritage-at-risk,NA,7501977,2024-09-26,Wanstead Park,POINT(0.032099 51.567394),NA,geography,NA,NA,NA,WANSTEAD PARK,https://historicengland.org.uk/listing/the-list/list-entry/1000194,TQ4104087270,540989,187461,NA,51.5684015546444,0.0328577527522428,II*
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/25151, Registered Park and Garden grade II,1000205," Brighton and Hove, City of (UA)", Gardens parks and urban spaces > Garden," Brighton and Hove, City of (UA)",NA, Brighton Pavilion, London and South East, Park and garden, Extensive significant problems,NA, Stable," Local authority, multiple owners",NA,NA,NA,NA,NA,NA,NA,NA," Registered Park and Garden grade II, 3 LBs, CA ",NA, High,1000205,heritage-at-risk,NA,7500396,2024-09-26,"The Royal Pavilion Gardens, Brighton",POINT(-0.137804 50.822766),NA,geography,NA,NA,NA,"THE ROYAL PAVILION, BRIGHTON",https://historicengland.org.uk/listing/the-list/list-entry/1000205,TQ 31244 04227,531244,104227,NA,50.8227193147721,-0.138065486832619,II
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/26104, Registered Park and Garden grade II,1000124, Cheshire East (UA), Gardens parks and urban spaces > Landscape park, Cheshire East (UA), Crewe Green / Weston, Crewe and Nantwich, North West, Park and garden, Generally unsatisfactory with major localised problems,NA, Declining," Mixed, multiple owners",NA,NA,NA,NA,NA,NA,NA,NA," Registered Park and Garden grade II, 8 LBs ",NA, High,1000124,heritage-at-risk,NA,7500379,2024-09-26,Crewe Hall,POINT(-2.399744 53.084148),NA,geography,NA,NA,NA,CREWE HALL,https://historicengland.org.uk/listing/the-list/list-entry/1000124,SJ7337054317,373275,353572,NA,53.0786987456967,-2.40039146076917,II
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/26117, Registered Park and Garden grade II,1000215, Test Valley, Gardens parks and urban spaces > Landscape park,NA, Wellow, Romsey and Southampton North, London and South East, Park and garden, Extensive significant problems,NA, Stable," Mixed, multiple owners",NA,NA,NA, Hampshire, Test Valley,NA,NA,NA," Registered Park and Garden grade II, 8 LBs ",NA, High,1000215,heritage-at-risk,NA,7500352,2024-09-26,Embley Park,POINT(-1.539065 50.984474),NA,geography,NA,NA,NA,EMBLEY PARK,https://historicengland.org.uk/listing/the-list/list-entry/1000215,SU 32390 20704,432390,120710,NA,50.9848884861012,-1.53994005533874,II
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/26148, Registered Park and Garden grade II,1000129, South Gloucestershire (UA), Gardens parks and urban spaces > Landscape park," South Gloucestershire (UA) / Bristol, City of (UA)", Stoke Gifford, Bristol North East / Filton and Bradley Stoke, South West, Park and garden, Generally satisfactory but with significant localised problems,NA, Improving," Mixed, multiple owners",NA,NA,NA,NA,NA,NA,NA,NA," Registered Park and Garden grade II, 10 LBs, SM, part in CA ",NA, Medium,1000129,heritage-at-risk,NA,7500337,2024-09-26,Stoke Park,POINT(-2.552928 51.490522),NA,geography,NA,NA,NA,STOKE PARK,https://historicengland.org.uk/listing/the-list/list-entry/1000129,ST 61723 77175,361723,177175,NA,51.4922154359786,-2.55272410750127,II
