"reference","ID","Name","Grade","Listing.date","Amendment.date","Capture.scale","NHLE.link","National.Grid.Reference","Easting","Northing","dataset","end.date","entity","entry.date","geojson","geometry","name","organisation.entity","point","prefix","start.date","typology","categories","documentation.url","geography","heritage.at.risk","legislation","notes","organisation"
"1021635","166","COURTFIELD HOUSE","II*","12/29/1950 12:00:00 AM","","1.777777778","https://historicengland.org.uk/listing/the-list/list-entry/1021635","ST 85975 57832",385975,157832,"heritage-at-risk",NA,7501659,"2024-09-26",NA,"MULTIPOLYGON (((-2.202616 51.319409,-2.202634 51.319428,-2.202652 51.319409,-2.202616 51.319409)))","Courtfield House, Polebarn Road",16,"POINT(-2.202634 51.319415)","heritage-at-risk",NA,"geography",NA,"https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/327822",NA,NA,NA,NA,NA
"1022597","1125","MORETON HALL SCHOOL","II*","07/12/1972 00:00","","1.777777778","https://historicengland.org.uk/listing/the-list/list-entry/1022597","TL 86935 64497",586935,264497,"heritage-at-risk",NA,7502804,"2024-09-26",NA,"MULTIPOLYGON (((0.736889 52.246905,0.736872 52.246925,0.736852 52.246906,0.736889 52.246905)))","Moreton Hall",16,"POINT(0.736871 52.246912)","heritage-at-risk",NA,"geography",NA,"https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/48672",NA,NA,NA,NA,NA
"1022808","1336","RUDLOE MANOR","II*","7/24/1985 12:00:00 AM","","1.777777778","https://historicengland.org.uk/listing/the-list/list-entry/1022808","ST 84228 70667",384228,170667,"heritage-at-risk",NA,7502398,"2024-09-26",NA,"MULTIPOLYGON (((-2.228258 51.434771,-2.228276 51.434791,-2.228294 51.434771,-2.228258 51.434771)))","Rudloe Manor",16,"POINT(-2.228276 51.434778)","heritage-at-risk",NA,"geography",NA,"https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/50013",NA,NA,NA,NA,NA
"1024743","3262","CHURCH OF ST MICHAEL AND PRESBYTERY ATTACHED","II*","12/17/1971 12:00:00 AM","","1.777777778","https://historicengland.org.uk/listing/the-list/list-entry/1024743","NZ 23147 63509",423147,563509,"heritage-at-risk",NA,7504970,"2024-09-26",NA,"MULTIPOLYGON (((-1.639993 54.965675,-1.640012 54.965694,-1.640032 54.965675,-1.639993 54.965675)))","Presbytery attached to St Michael's church, Westmorland Road, Newcastle upon Tyne",16,"POINT(-1.640012 54.965681)","heritage-at-risk",NA,"geography",NA,"https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/409437",NA,NA,NA,NA,NA
"1024748","3267","CHRIST CHURCH AND HALL ATTACHED","II*","6/14/1954 12:00:00 AM","","1.777777778","https://historicengland.org.uk/listing/the-list/list-entry/1024748","NZ 25540 64599",425540,564599,"heritage-at-risk",NA,7504964,"2024-09-26",NA,"MULTIPOLYGON (((-1.602522 54.975354,-1.602542 54.975373,-1.602561 54.975354,-1.602522 54.975354)))","Christ Church (and hall attached), Shieldfield Green, Newcastle upon Tyne",16,"POINT(-1.602542 54.975360)","heritage-at-risk",NA,"geography",NA,"https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/19338",NA,NA,NA,NA,NA
"1024757","3275","CHURCH OF ST MATTHEW","II*","6/14/1954 12:00:00 AM","","1.777777778","https://historicengland.org.uk/listing/the-list/list-entry/1024757","NZ 23838 64141",423838,564142,"heritage-at-risk",NA,7504811,"2024-09-26",NA,"MULTIPOLYGON (((-1.629154 54.971325,-1.629173 54.971344,-1.629193 54.971325,-1.629154 54.971325)))","Church of St Matthew, Summerhill Street, Newcastle upon Tyne",16,"POINT(-1.629173 54.971331)","heritage-at-risk",NA,"geography",NA,"https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/15122",NA,NA,NA,NA,NA
"1024846","3364","CHURCH OF ST PAUL","II","6/14/1954 12:00:00 AM","","1.777777778","https://historicengland.org.uk/listing/the-list/list-entry/1024846","NZ 23505 64064",423505,564064,"heritage-at-risk",NA,7505017,"2024-09-26",NA,"MULTIPOLYGON (((-1.634356 54.970645,-1.634376 54.970665,-1.634395 54.970645,-1.634356 54.970645)))","Life Transformation Church (former Church of St Paul), Havelock Place, High Elswick",16,"POINT(-1.634376 54.970652)","heritage-at-risk",NA,"geography",NA,"https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/18974",NA,NA,NA,NA,NA
"1024902","3420","THE KEELMEN'S HOSPITAL","II*","6/14/1954 12:00:00 AM","","1.777777778","https://historicengland.org.uk/listing/the-list/list-entry/1024902","NZ 25545 64178",425545,564178,"heritage-at-risk",NA,7504971,"2024-09-26",NA,"MULTIPOLYGON (((-1.602481 54.971570,-1.602501 54.971590,-1.602520 54.971570,-1.602481 54.971570)))","The Keelmen's Hospital, City Road, Newcastle upon Tyne",16,"POINT(-1.602501 54.971577)","heritage-at-risk",NA,"geography",NA,"https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/49897",NA,NA,NA,NA,NA
"1024916","3434","32, CLOSE","II*","6/14/1954 12:00:00 AM","","1.777777778","https://historicengland.org.uk/listing/the-list/list-entry/1024916","NZ 25038 63762",425038,563763,"heritage-at-risk",NA,7504965,"2024-09-26",NA,"MULTIPOLYGON (((-1.610437 54.967862,-1.610456 54.967881,-1.610476 54.967862,-1.610437 54.967862)))","32, Close (The Cooperage)",16,"POINT(-1.610456 54.967868)","heritage-at-risk",NA,"geography",NA,"https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/52900",NA,NA,NA,NA,NA
"1024948","3465","CHURCH OF ST MICHAEL WITH ST LAWRENCE","II","6/14/1954 12:00:00 AM","3/30/1987 12:00:00 AM","1.777777778","https://historicengland.org.uk/listing/the-list/list-entry/1024948","NZ 27290 64479",427290,564479,"heritage-at-risk",NA,7504966,"2024-09-26",NA,"MULTIPOLYGON (((-1.575195 54.974183,-1.575214 54.974203,-1.575233 54.974183,-1.575195 54.974183)))","Church of St Michael with St Lawrence, Avondale Road, Byker",16,"POINT(-1.575214 54.974190)","heritage-at-risk",NA,"geography",NA,"https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/19340",NA,NA,NA,NA,NA
