"ListEntry","dataset","end.date","entity","entry.date","name","point","start.date","typology","url","geography","heritage.at.risk","organisation","Name","hyperlink","NGR","Easting","Northing","Grade","lat","lon"
1001731,"heritage-at-risk",NA,7500726,"2024-09-26","Offa's Dyke: Rushock Hill section, extending 1630yds (1490m) east to Kennel Wood","POINT(-3.032993 52.229575)",NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/37764",NA,NA,NA,"Offa's Dyke: Rushock Hill section, extending 1630yds (1490m) E to Kennel Wood","https://historicengland.org.uk/listing/the-list/list-entry/1001731","SO 29562 59529",329562,259529,NA,52.2294359126987,-3.03272038639519
1001733,"heritage-at-risk",NA,7500390,"2021-12-01","Offa's Dyke: the section 630yds (580m) long west of Lyonshall","POINT(-2.984735 52.198062)",NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/34594",NA,NA,NA,"Offa's Dyke: the section 630yds (580m) long W of Lyonshall","https://historicengland.org.uk/listing/the-list/list-entry/1001733","SO 32790 55995",332790,255995,NA,52.1980727688308,-2.98476317596531
1001735,"heritage-at-risk",NA,7500391,"2024-09-26","Offa's Dyke: section north west of Holme Marsh extending 615 yards (560 metres) to the railway","POINT(-2.974065 52.189224)",NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/37756",NA,NA,NA,"Offa's Dyke: section NW of Holme Marsh extending 615yds (560m) to the railway","https://historicengland.org.uk/listing/the-list/list-entry/1001735","SO 33493 55016",333493,255016,NA,52.1893578466299,-2.97428676871494
1001738,"heritage-at-risk",NA,7500727,"2024-09-26","Offa's Dyke: the section extending 950yds (870m) N and S of Big Oaks","POINT(-2.867624 52.083725)",NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/34587",NA,NA,NA,"Offa's Dyke: the section extending 950yds (870m) N and S of Big Oaks","https://historicengland.org.uk/listing/the-list/list-entry/1001738","SO 40636 43192, SO 40811 42789",340636,243192,NA,52.0838832805788,-2.8677436763986
1001747,"heritage-at-risk",NA,7500728,"2024-09-26","Sutton Walls (camp)","POINT(-2.694551 52.113900)",NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/35712",NA,NA,NA,"Sutton Walls (camp)","https://historicengland.org.uk/listing/the-list/list-entry/1001747","SO 52520 46404",352520,246404,NA,52.1139081461655,-2.69477840240727
1001758,"heritage-at-risk",NA,7500504,"2024-09-26","Dinedor Camp","POINT(-2.695883 52.023538)",NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/35701",NA,NA,NA,"Dinedor Camp","https://historicengland.org.uk/listing/the-list/list-entry/1001758","SO 52357 36358",352357,236358,NA,52.0235813269499,-2.6957529409245
1001778,"heritage-at-risk",NA,7500505,"2024-09-26","Motte and bailey, west of St Mary's Church","POINT(-2.961579 51.919567)",NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/43323",NA,NA,NA,"Motte and bailey, W of St Mary's Church","https://historicengland.org.uk/listing/the-list/list-entry/1001778","SO 33964 24999",333964,224999,NA,51.9195816937558,-2.96158548199207
1001789,"heritage-at-risk",NA,7502103,"2024-09-26","Gilkicker Fort, Fort Road, Gilkicker Point","POINT(-1.140891 50.774004)",NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/46649",NA,NA,NA,"Gilkicker fort","https://historicengland.org.uk/listing/the-list/list-entry/1001789","SZ 60679 97497",460679,97497,NA,50.7738898125786,-1.14081318554153
1001794,"heritage-at-risk",NA,7500506,"2024-09-26","Andover-Redbridge canal, Chalk Hill Lock, Horsebridge","POINT(-1.506053 51.074787)",NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/30386",NA,NA,NA,"Andover-Redbridge canal, Chalk Hill Lock, Horsebridge","https://historicengland.org.uk/listing/the-list/list-entry/1001794","SU 34701 30724",434701,130724,NA,51.0747987345637,-1.5060627654243
1001808,"heritage-at-risk",NA,7500507,"2024-09-26","Fort Southwick, Portsdown Hill, Portsmouth","POINT(-1.108698 50.858324)",NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/48364",NA,NA,NA,"Fort Southwick
See also HAMPSHIRE 500","https://historicengland.org.uk/listing/the-list/list-entry/1001808","SU 62824 06926",462824,106838,NA,50.8576508623299,-1.10879991749887
1001810,"heritage-at-risk",NA,7500508,"2024-09-26","Gunboat Traverser System, Haslar Gunboat Yard","POINT(-1.126400 50.787429)",NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/27592",NA,NA,NA,"Gunboat Traverser System","https://historicengland.org.uk/listing/the-list/list-entry/1001810","SZ6165998976",461659,98976,NA,50.7870851250304,-1.12666887409536
1001814,"heritage-at-risk",NA,7502104,"2022-12-21","'Banjo type' native settlement","POINT(-1.241109 51.109140)",NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/27706",NA,NA,NA,"'Banjo type' native settlement","https://historicengland.org.uk/listing/the-list/list-entry/1001814","SU 53223 34701",453223,134701,NA,51.1091418790967,-1.24111967035475
1001841,"heritage-at-risk",NA,7502105,"2024-09-26","Fort Elson, RNAD, Military Road, Gosport","POINT(-1.150829 50.822542)",NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/46645",NA,NA,NA,"Fort Elson","https://historicengland.org.uk/listing/the-list/list-entry/1001841","SU 59902 02893",459902,102893,NA,50.8224889042105,-1.15095288815635
1001848,"heritage-at-risk",NA,7505040,"2024-09-26","Roman villa in Bottom Copse","POINT(-1.112488 50.936591)",NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/31721",NA,NA,NA,"Roman villa in Bottom Copse","https://historicengland.org.uk/listing/the-list/list-entry/1001848","SU 62461 15612",462461,115612,NA,50.9365799443754,-1.11245861981474
1001849,"heritage-at-risk",NA,7500729,"2024-09-26","Fortifications S of Trinity Church","POINT(-1.119839 50.791863)",NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/30384",NA,NA,NA,"Bastion No 1, Gosport Lines","https://historicengland.org.uk/listing/the-list/list-entry/1001849","SZ6213999513",462139,99513,NA,50.7918624040366,-1.11976977459563
1001852,"heritage-at-risk",NA,7500392,"2024-09-26","No.5 and No.6 Dock, Basin No.1, Portsmouth Dockyard","POINT(-1.109879 50.802474)",NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/48740",NA,NA,NA,"Portsmouth Dockyard, the Docks","https://historicengland.org.uk/listing/the-list/list-entry/1001852","SU 62808 00626",462808,100626,NA,50.8017979310289,-1.11008956598385
1001856,"heritage-at-risk",NA,7500730,"2024-09-26","Fort Fareham, Newgate Lane, Fareham","POINT(-1.188637 50.840810)",NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/46643",NA,NA,NA,"Fort Fareham","https://historicengland.org.uk/listing/the-list/list-entry/1001856","SU 57232 04906",457232,104906,NA,50.8408585433905,-1.18854044286508
1001857,"heritage-at-risk",NA,7502106,"2022-12-21","Roman site north west of Woodgarston Farm","POINT(-1.169868 51.298538)",NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/27702",NA,NA,NA,"Roman site NW of Woodgarston Farm","https://historicengland.org.uk/listing/the-list/list-entry/1001857","SU 57972 55817",457972,155817,NA,51.2985357083715,-1.16988568479534
1001861,"heritage-at-risk",NA,7500509,"2024-09-26","Hilsea Lines - Centre Bastion (excluding casemates referred to as Bastion 4), East Centre Curtain (Railway) west side (formerly known as Bastion no. 5), Hilsea","POINT(-1.063191 50.834186)",NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/46664",NA,NA,NA,"Hilsea Lines","https://historicengland.org.uk/listing/the-list/list-entry/1001861","SU6602304224",466254,104304,NA,50.8344848615045,-1.06053275902676
1001862,"heritage-at-risk",NA,7500510,"2024-09-26","Fort Widley, Portsmouth","POINT(-1.068213 50.854455)",NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/2289505",NA,NA,NA,"Fort Widley","https://historicengland.org.uk/listing/the-list/list-entry/1001862","SU 65680 06524",465680,106524,NA,50.8545108358604,-1.06828526985172
1001885,"heritage-at-risk",NA,7500393,"2024-09-26","Castle Hill","POINT(-1.423585 50.950063)",NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/27921",NA,NA,NA,"Castle Hill","https://historicengland.org.uk/listing/the-list/list-entry/1001885","SU 40586 16895",440586,116895,NA,50.9500667755685,-1.42360859642851
1001903,"heritage-at-risk",NA,7500394,"2021-05-27","Corhampton British village on Corhampton Down","POINT(-1.183626 50.978107)",NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/30038",NA,NA,NA,"Corhampton British village on Corhampton Down","https://historicengland.org.uk/listing/the-list/list-entry/1001903","SU 57410 20173",457410,120173,NA,50.978113666272,-1.18361569619845
1001940,"heritage-at-risk",NA,7500731,"2024-09-26","The Moat","POINT(-1.484189 51.132998)",NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/30042",NA,NA,NA,"The Moat","https://historicengland.org.uk/listing/the-list/list-entry/1001940","SU 36183 37213",436183,137213,NA,51.1330547152936,-1.48426141118689
1001942,"heritage-at-risk",NA,7500527,"2024-09-26","Ruins of St Nicholas Chapel, Westbury","POINT(-1.066047 51.011462)",NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/50119",NA,NA,NA,"St Nicholas Chapel and deserted medieval village, Westbury","https://historicengland.org.uk/listing/the-list/list-entry/1001942","SU 65619 23975",465619,123975,NA,51.0114222970741,-1.06601510106866
1001955,"heritage-at-risk",NA,7502107,"2022-12-21","Oldknow's lime kilns, Marple","POINT(-2.057110 53.392727)",NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/3533517",NA,NA,NA,"Oldknow's limekilns, Strines Road","https://historicengland.org.uk/listing/the-list/list-entry/1001955","SJ 96295 88438",396295,388438,NA,53.3927630144975,-2.0571773908785
1001963,"heritage-at-risk",NA,7500732,"2024-09-26","Hanwell flight of locks and brick boundary wall of St Bernard's Hospital","POINT(-0.348093 51.504869)",NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/41920",NA,NA,NA,"Hanwell flight of locks and brick boundary wall of St Bernard's Hospital","https://historicengland.org.uk/listing/the-list/list-entry/1001963","TQ 14726 79786, TQ 14607 79781, TQ 14438 79752, TQ 14823 79748, TQ 14582 79797, TQ 14903 79686, TQ 14984 79609",514823,179748,NA,51.5050101331193,-0.347001577401913
1001973,"heritage-at-risk",NA,7502108,"2024-09-26","Romano-British masonry building and Saxon cemetery, Fordcroft, Orpington","POINT(0.106963 51.388440)",NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/41811",NA,NA,NA,"Romano-British masonry building and Saxon cemetery, Fordcroft, Orpington","https://historicengland.org.uk/listing/the-list/list-entry/1001973","TQ 46710 67596",546710,167596,NA,51.3884486348519,0.107100445364709
1001976,"heritage-at-risk",NA,7500528,"2024-09-26","Merton Priory (site of), Merantun Way, Colliers Wood","POINT(-0.181209 51.414191)",NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/43168",NA,NA,NA,"The Augustinian Priory of St Mary at Merton, 271m ENE of Abbey Wall Works","https://historicengland.org.uk/listing/the-list/list-entry/1001976","TQ 26564 69922",526564,169922,NA,51.4141991695153,-0.181436075526038
1001979,"heritage-at-risk",NA,7500529,"2024-09-26","Roman boat at New Guy's House, Bermondsey","POINT(-0.087889 51.502648)",NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/40364",NA,NA,NA,"Roman riverboat, 136m west of Greenwood Theatre","https://historicengland.org.uk/listing/the-list/list-entry/1001979","TQ 32810 79923",532810,179923,NA,51.5026461458573,-0.0879204504507763
1001982,"heritage-at-risk",NA,7502109,"2024-09-26","Priory and Hospital of St Mary Spital, Steward Street","POINT(-0.077765 51.520811)",NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/41922",NA,NA,NA,"Priory and Hospital of St Mary Spital","https://historicengland.org.uk/listing/the-list/list-entry/1001982","TQ 33458 81957",533458,181850,NA,51.5198104126467,-0.077861208060846
1001988,"heritage-at-risk",NA,7500733,"2024-09-26","Dagnam Park Farm moated site, Noak Hill, Romford","POINT(0.236674 51.611148)",NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/43166",NA,NA,NA,"Dagnam Park Farm moated site, Noak Hill, Romford","https://historicengland.org.uk/listing/the-list/list-entry/1001988","TQ 54964 92629",554964,192629,NA,51.6111693435897,0.236617388328985
1001991,"heritage-at-risk",NA,7505041,"2024-09-26","Upminster Tithe Barn, Hall Lane, Upminster RM14","POINT(0.256960 51.566818)",NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/45261",NA,NA,NA,"Medieval grange barn, 228m south-east of Upminster Court","https://historicengland.org.uk/listing/the-list/list-entry/1001991","TQ 56523 87740",556523,187740,NA,51.5668140218637,0.256935583503177
1001996,"heritage-at-risk",NA,7502110,"2024-09-26","Linear earthworks in Pear Wood, west of Watling Street","POINT(-0.307013 51.628690)",NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/37743",NA,NA,NA,"Linear earthworks in Pear Wood, W of Watling Street","https://historicengland.org.uk/listing/the-list/list-entry/1001996","TQ 17173 93499, TQ 17328 93599",517328,193599,NA,51.6289811963527,-0.306306254894694
1002001,"heritage-at-risk",NA,7500409,"2024-09-26","Moated site, west bank of River Pinn, near Ickenham (1/2 mile (800m) north west of church)","POINT(-0.454227 51.569781)",NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/43304",NA,NA,NA,"Medieval moated site 382m south-east of Brackenbury Farm","https://historicengland.org.uk/listing/the-list/list-entry/1002001","TQ 07229 86789",507229,186789,NA,51.5697859385515,-0.454230649995043
1002006,"heritage-at-risk",NA,7500734,"2024-09-26","Manor Farm moat, Ickenham","POINT(-0.440550 51.557013)",NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/43297",NA,NA,NA,"Ickenham Manor Farm","https://historicengland.org.uk/listing/the-list/list-entry/1002006","TQ0821785386",508217,185377,NA,51.5569062836508,-0.440415093273838
1002007,"heritage-at-risk",NA,7502111,"2024-09-26","Grim's Ditch: section north of Blythwood House","POINT(-0.391728 51.602597)",NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/45822",NA,NA,NA,"Grim's Ditch: section N of Blythwood House","https://historicengland.org.uk/listing/the-list/list-entry/1002007","TQ 11504 90567",511504,190567,NA,51.6029134943961,-0.391375271618799
1002024,"heritage-at-risk",NA,7500735,"2024-09-26","Iron Age settlement and Roman villa at Warbank, Keston","POINT(0.029397 51.350512)",NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/44361",NA,NA,NA,"Iron Age settlement and Roman villa at Warbank, Keston","https://historicengland.org.uk/listing/the-list/list-entry/1002024","TQ 41422 63227",541422,163227,NA,51.3505300052736,0.0294177845121737
1002035,"heritage-at-risk",NA,7500410,"2021-05-27","Roman wall in basement of 90 Gracechurch Street","POINT(-0.084206 51.512980)",NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/36137",NA,NA,NA,"Roman wall in basement of 90 Gracechurch Street","https://historicengland.org.uk/listing/the-list/list-entry/1002035","TQ 33036 81079",533036,181079,NA,51.512981349361,-0.0842305795327583
1002040,"heritage-at-risk",NA,7505038,"2024-09-26","Site of Elsynge Hall, Forty Hall","POINT(-0.066553 51.672467)",NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/34573",NA,NA,NA,"Elsyng Palace","https://historicengland.org.uk/listing/the-list/list-entry/1002040","TQ3385798871",533857,198796,NA,51.6719963222246,-0.0656545404491733
1002042,"heritage-at-risk",NA,7500530,"2024-09-26","Romano-British site 1000yds (910m) west of East Bedfont parish church","POINT(-0.453375 51.453010)",NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/36249",NA,NA,NA,"Romano-British site 1000yds (910m) W of East Bedfont parish church","https://historicengland.org.uk/listing/the-list/list-entry/1002042","TQ 07560 73802",507560,173802,NA,51.4529937289923,-0.453414466295853
1002043,"heritage-at-risk",NA,7500531,"2024-09-26","Double ditched enclosure beside A30 road 500yds (460m) west of East Bedfont parish church","POINT(-0.446892 51.451834)",NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/34574",NA,NA,NA,"Part of a causewayed enclosure, 632m north-east of Mayfield Farm","https://historicengland.org.uk/listing/the-list/list-entry/1002043","TQ 08030 73664",508030,173664,NA,51.4516639688208,-0.446695108763992
1002044,"heritage-at-risk",NA,7500532,"2024-09-26","Grim's Ditch: section extending 1500yds (1370m) north east from Oxhey Lane","POINT(-0.357139 51.621597)",NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/34575",NA,NA,NA,"Grim's Ditch: section extending 1500yds (1370m) NE from Oxhey Lane","https://historicengland.org.uk/listing/the-list/list-entry/1002044","TQ 13900 92907",513900,192907,NA,51.6234654719999,-0.356034647552542
1002050,"heritage-at-risk",NA,7502112,"2021-12-01","London Wall: remains of Roman and medieval wall from west end of All Hallows Church to 38 Camomile Street","POINT(-0.082656 51.516430)",NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/40359",NA,NA,NA,"London Wall: remains of Roman and medieval wall from W end of All Hallows Church to 38 Camomile Street","https://historicengland.org.uk/listing/the-list/list-entry/1002050","TQ 33123 81467",533123,181467,NA,51.5164476008481,-0.082831193844608
1002067,"heritage-at-risk",NA,7500411,"2021-12-01","London Wall: section bounding All Hallows Churchyard","POINT(-0.084548 51.516707)",NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/37739",NA,NA,NA,"London Wall: section bounding All Hallows Churchyard","https://historicengland.org.uk/listing/the-list/list-entry/1002067","TQ 33001 81492",533001,181492,NA,51.5167009707033,-0.0845789689771886
1002079,"heritage-at-risk",NA,7500533,"2024-09-26","Lydney Docks and Harbour, Naas Lane","POINT(-2.508868 51.709915)",NA,"geography","https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/48485",NA,NA,NA,"Lydney Harbour","https://historicengland.org.uk/listing/the-list/list-entry/1002079","SO 64955 01371",364955,201371,NA,51.7099708068851,-2.50859896373379
